poi_id,parent,name,typ,typ1,typ2,typ3,business_type,address,lon,lat,tel,postcode,website,pcode,pname,citycode,cityname,adcode,adname,entr_location,exit_location,alias,parking_type,tag,business_area,rating,cost
B0FFF0FMKE,[],崇明岛国家地质公园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,堡湖路,121.231400,31.726844,[],[],[],310000,上海市,021,上海市,310151,崇明区,"121.239408,31.727616",[],[],,[],[],4.5,[]
B00156EKMZ,[],闻道园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,潘泾路2888号,121.353067,31.437086,021-66866777;021-66865538,[],[],310000,上海市,021,上海市,310113,宝山区,"121.357916,31.438746",[],[],,[],[],4.3,80.00
B00156EG8P,[],光明瑞华果园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,新海镇北沿公路3176号,121.32931,31.814364,021-59658558,[],[],310000,上海市,021,上海市,310151,崇明区,"121.331196,31.811699",[],[],,[],[],4.3,50.00
B00156E3VY,[],顾村公园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,沪太路4788号,121.368712,31.339645,021-36621019;021-56045199,[],[],310000,上海市,021,上海市,310113,宝山区,"121.382364,31.346475",[],[],,[],顾村,4.6,20.00
B00155LYLB,[],上海海湾国家森林公园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,随塘河路1677号,121.690615,30.86139,021-57169090;021-57169696;12301,[],www.shfpark.com,310000,上海市,021,上海市,310120,奉贤区,"121.677894,30.86661",[],海湾森林公园,,[],[],4.4,80.00
B00155LGBQ,[],上海吴淞炮台湾国家湿地公园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,塘后路206号,121.508629,31.39677,021-56579010;021-56579009;12301,[],[],310000,上海市,021,上海市,310113,宝山区,"121.506157,31.393171",[],[],,[],[],4.4,10.00
B00155IPXY,[],东方绿舟,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,沪青平公路6888号,121.010613,31.103839,021-59233222;021-59233000;12301,201713,[],310000,上海市,021,上海市,310118,青浦区,"121.018334,31.09881",[],[],,[],朱家角镇,4.6,50.00
B001558F5I,[],朱家角古镇,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,朱家角镇,121.05388,31.109867,021-59240077;021-59245559,[],www.zhujiajiao.com,310000,上海市,021,上海市,310118,青浦区,"121.053613,31.114342",[],朱家角古镇景区,,[],朱家角镇,4.5,[]
B00154DUI6,[],世纪公园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,锦绣路1001号,121.552556,31.215723,021-38760588;021-58333983,[],www.centurypark.com.cn,310000,上海市,021,上海市,310115,浦东新区,"121.546763,31.217852",[],[],,[],[],4.7,10.00
B00152289C,[],上海大观园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,金商公路701号,120.910254,31.073401,021-59262089;021-59262831,[],[],310000,上海市,021,上海市,310118,青浦区,"120.911195,31.073014",[],大观园,,[],[],4.4,60.00
B0015211C2,[],共青国家森林公园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,军工路2000号,121.551984,31.318892,021-65328194;021-65740586;18117279772,[],[],310000,上海市,021,上海市,310110,杨浦区,"121.547265,31.315138",[],共青森林公园,,[],[],4.5,15.00
B00151C9B5,[],古猗园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,南翔镇沪宜公路218号,121.31673,31.29185,021-59121535;021-59124916,[],www.guyigarden.com,310000,上海市,021,上海市,310114,嘉定区,"121.316511,31.290466",[],猗园,,[],南翔,4.5,12.00
B001556VY1,[],枫泾古镇,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,亭枫公路8588弄28号,121.016281,30.886969,021-57355555,[],www.shfj.cn,310000,上海市,021,上海市,310116,金山区,"121.014284,30.884327",[],[],,[],枫泾,4.2,50.00
B00150F6D6,[],东方明珠广播电视塔,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,世纪大道1号(近二号线陆家嘴站),121.499809,31.239666,[],[],www.orientalpearltower.com,310000,上海市,021,上海市,310115,浦东新区,"121.501072,31.23935",[],Oriental Pearl Tower|东方明珠塔,,[],陆家嘴,5.0,80.00
B0015524WX,B00155L3V8,上海金茂大厦88层观光厅,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,世纪大道88号金茂大厦,121.505823,31.235315,021-50475101;021-50475001,200121,[],310000,上海市,021,上海市,310115,浦东新区,"121.506217,31.235229",[],金茂大厦观光厅,,[],陆家嘴,4.6,120.00
B00155MF55,[],豫园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,九曲桥北侧,121.491983,31.227029,021-63260830;021-63282465,[],[],310000,上海市,021,上海市,310101,黄浦区,"121.491487,31.22785",[],[],,[],城隍庙,4.2,40.00
B00155G34C,[],淀山湖风景区,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,[],120.978477,31.137565,[],[],www.sh-dianshanhu.com,310000,上海市,021,上海市,310118,青浦区,"120.911656,31.075747",[],[],,[],[],4.2,[]
B00155GM1T,B00155FXB3,外滩-观光隧道,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,中山东一路351号,121.490474,31.239646,021-58886000,[],[],310000,上海市,021,上海市,310101,黄浦区,"121.490196,31.239906",[],[],,[],[],3.9,7.00
B00155IR0X,B00155MLEY,上海环球金融中心观光厅,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,世纪大道100号,121.507061,31.234424,021-68880888;4001100555,200120,[],310000,上海市,021,上海市,310115,浦东新区,"121.506703,31.234309",[],环球金融中心观光厅,,[],陆家嘴,3.6,180.00
B001529DBC,[],东平国家森林公园,风景名胜;风景名胜;国家级景点,风景名胜,风景名胜,国家级景点,tour,北沿公路2188号,121.481041,31.683859,021-59338333;021-59338028;12301,[],www.dpslpark.com,310000,上海市,021,上海市,310151,崇明区,"121.481377,31.67609",[],东平森林公园,,[],[],3.5,70.00
